,n_warmup,n_loop,device,dtype,n_head,batch_size,seq_len,n_serial,serial_latency,batch_latency
0,10,100,cuda,bf16,16,1,8,128,1.7932844161987305,0.0584864616394043
1,10,100,cuda,bf16,16,1,16,256,3.6084342002868652,0.05843162536621094
2,10,100,cuda,bf16,16,1,32,512,7.39370584487915,0.05819082260131836
3,10,100,cuda,bf16,16,1,64,1024,14.516723155975342,0.058591365814208984
4,10,100,cuda,bf16,16,1,128,2048,28.84307622909546,0.05871772766113281
5,10,100,cuda,bf16,16,1,256,4096,57.94830322265625,0.057828426361083984
6,10,100,cuda,bf16,16,1,512,8192,115.6478500366211,0.058536529541015625
7,10,100,cuda,bf16,16,1,1024,16384,230.57260036468506,0.05797624588012695
8,10,100,cuda,bf16,16,1,2048,32768,453.62231969833374,0.0567936897277832
9,10,100,cuda,bf16,16,1,4096,65536,905.7665705680847,0.05697965621948242
10,10,100,cuda,bf16,16,1,8192,131072,1813.7727451324463,0.05673408508300781
11,10,100,cuda,bf16,16,1,9216,147456,2054.4303369522095,0.06778478622436523
12,10,100,cuda,bf16,16,1,10240,163840,2267.111039161682,0.0682210922241211
13,10,100,cuda,bf16,16,1,11264,180224,2495.177068710327,0.07153749465942383
14,10,100,cuda,bf16,16,1,12288,196608,2732.322654724121,0.08425235748291016
15,10,100,cuda,bf16,16,1,13312,212992,2960.3403186798096,0.07720232009887695
16,10,100,cuda,bf16,16,1,14336,229376,3175.2108669281006,0.08150577545166016
17,10,100,cuda,bf16,16,1,15360,245760,3421.0785126686096,0.05774259567260742
18,10,100,cuda,bf16,16,1,16384,262144,3654.673614501953,0.06374597549438477
