,n_warmup,n_loop,device,dtype,n_head,batch_size,seq_len,n_serial,serial_latency,batch_latency
0,10,100,cuda,fp16,16,1,8,128,1.9697642326354983,0.05782604217529297
1,10,100,cuda,fp16,16,1,16,256,3.695986270904541,0.02754688262939453
2,10,100,cuda,fp16,16,1,32,512,7.322759628295898,0.05778789520263672
3,10,100,cuda,fp16,16,1,64,1024,14.126129150390625,0.05734682083129883
4,10,100,cuda,fp16,16,1,128,2048,28.44228982925415,0.05762815475463867
5,10,100,cuda,fp16,16,1,256,4096,57.39187717437744,0.06273269653320312
6,10,100,cuda,fp16,16,1,512,8192,114.0919828414917,0.05761384963989258
7,10,100,cuda,fp16,16,1,1024,16384,227.56448030471802,0.056710243225097656
8,10,100,cuda,fp16,16,1,2048,32768,448.416109085083,0.05593538284301758
9,10,100,cuda,fp16,16,1,4096,65536,898.5749244689941,0.05565643310546875
10,10,100,cuda,fp16,16,1,8192,131072,1801.8325996398926,0.019180774688720703
11,10,100,cuda,fp16,16,1,9216,147456,2021.3378715515137,0.06805896759033203
12,10,100,cuda,fp16,16,1,10240,163840,2247.795567512512,0.06809473037719727
13,10,100,cuda,fp16,16,1,11264,180224,2471.721098423004,0.06753206253051758
14,10,100,cuda,fp16,16,1,12288,196608,2694.5370221138,0.08309602737426758
15,10,100,cuda,fp16,16,1,13312,212992,2934.825165271759,0.07293224334716797
16,10,100,cuda,fp16,16,1,14336,229376,3143.790397644043,0.08088350296020508
17,10,100,cuda,fp16,16,1,15360,245760,3373.9991116523743,0.057358741760253906
18,10,100,cuda,fp16,16,1,16384,262144,3586.3125872612,0.06287813186645508
