,n_warmup,n_loop,device,dtype,n_head,batch_size,seq_len,n_serial,serial_latency,batch_latency
0,10,100,cpu,bf16,16,1,8,128,0.47850847244262695,0.051457881927490234
1,10,100,cpu,bf16,16,1,16,256,0.8611917495727539,0.17781496047973633
2,10,100,cpu,bf16,16,1,32,512,1.8839383125305176,0.5398750305175781
3,10,100,cpu,bf16,16,1,64,1024,4.512331485748291,2.049086093902588
4,10,100,cpu,bf16,16,1,128,2048,11.919944286346436,8.193128108978271
5,10,100,cpu,bf16,16,1,256,4096,35.22552251815796,26.12978219985962
6,10,100,cpu,bf16,16,1,512,8192,117.56999015808105,92.64119148254395
7,10,100,cpu,bf16,16,1,1024,16384,417.80412912368774,371.83947563171387
8,10,100,cpu,bf16,16,1,2048,32768,1556.4660000801086,1479.6838021278381
9,10,100,cpu,bf16,16,1,4096,65536,6042.107472419739,5882.911643981934
10,10,100,cpu,bf16,16,1,8192,131072,23712.793056964874,23437.304067611694
11,10,100,cpu,bf16,16,1,16384,262144,94666.26163959503,93500.98419904709
