,n_warmup,n_loop,device,dtype,n_head,batch_size,seq_len,n_serial,serial_latency,batch_latency
0,10,100,cuda,bf16,16,1,8,128,1.7610955238342285,0.05949735641479492
1,10,100,cuda,bf16,16,1,16,256,3.569762706756592,0.059947967529296875
2,10,100,cuda,bf16,16,1,32,512,7.11496114730835,0.05977153778076172
3,10,100,cuda,bf16,16,1,64,1024,14.245800971984863,0.05980730056762695
4,10,100,cuda,bf16,16,1,128,2048,28.39202880859375,0.05967855453491211
5,10,100,cuda,bf16,16,1,256,4096,57.36219644546509,0.061898231506347656
6,10,100,cuda,bf16,16,1,512,8192,113.93375158309937,0.059447288513183594
7,10,100,cuda,bf16,16,1,1024,16384,227.75165796279907,0.057930946350097656
8,10,100,cuda,bf16,16,1,2048,32768,448.80497694015503,0.057730674743652344
9,10,100,cuda,bf16,16,1,4096,65536,891.9402766227722,0.05753755569458008
10,10,100,cuda,bf16,16,1,8192,131072,1792.2163152694702,0.05759000778198242
11,10,100,cuda,bf16,16,1,16384,262144,3589.628210067749,0.08601665496826172
