,n_warmup,n_loop,device,dtype,n_head,batch_size,seq_len,n_serial,serial_latency,batch_latency
0,10,100,cuda,fp16,16,1,8,128,1.7437529563903809,0.05881547927856445
1,10,100,cuda,fp16,16,1,16,256,3.510308265686035,0.05916595458984375
2,10,100,cuda,fp16,16,1,32,512,6.99779748916626,0.05923748016357422
3,10,100,cuda,fp16,16,1,64,1024,13.900279998779297,0.0590968132019043
4,10,100,cuda,fp16,16,1,128,2048,27.747857570648193,0.058417320251464844
5,10,100,cuda,fp16,16,1,256,4096,55.82404375076294,0.05864858627319336
6,10,100,cuda,fp16,16,1,512,8192,111.82833433151245,0.05932807922363281
7,10,100,cuda,fp16,16,1,1024,16384,223.7087368965149,0.0584101676940918
8,10,100,cuda,fp16,16,1,2048,32768,436.2437891960144,0.057539939880371094
9,10,100,cuda,fp16,16,1,4096,65536,874.4024848937988,0.05723714828491211
10,10,100,cuda,fp16,16,1,8192,131072,1741.5461778640747,0.05735635757446289
11,10,100,cuda,fp16,16,1,16384,262144,3475.6041526794434,0.08530139923095703
